text,category,category2
"Hey @Himanshu-370 ,
 
 Thanks for your interest in contributing to hyperswitch.
 
 Let us know if you need any assistance from our end.
 
 Also, even if hacktoberfest is over, we should celebrate open source everyday and we are open for more contributions from you.
 
 We would still be rewarding folks with goodies even if the PR gets merged post hacktoberfest.
 
 May the Source be with you!",approval,
"Hey @Himanshu-370 ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @ayan-joshi ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"@ashutuptiwari Yeah looks like compilation would be successful, formatting should be the only one remaining.",approval,
Alright then @SanchithHegde,approval,
"Hey @ashutuptiwari ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Thanks for your quick response @adarsh-jha-dev,
 
 Looks good to me!",approval,
"Like this @polymahh?
 
 
 
 For me everything looks good!",approval,
"Hi @polymahh, not ruined at all. I liked what you did.",approval,
@brunovjk looks great 👍,approval,
"@quan-nh2 oh you mean adding just empty spaces to the input
 
 i just tested it locally , working for the costumer form",approval,
Oh yeah u r right.,approval,
S this Works,approval,
i think this is a clean solution,approval,
i think this is a clean solution,approval,
"""The text over the teal background seem to be hard to read. Maybe use a lighter teal color?""",solution,problem
Awesome!!!!,approval,
@polymahh year sure on it.,approval,
"tested , LGTM 👍",approval,
"Hello, this is only the missing translations file. In order to add the hindi language, you need to add a strings_hi.i18n.json",clarifying,calltoaction
Please open another PR if you have the full hi.json ready,proceduralsuggestion,calltoaction
LGTM in next release,approval,
@Tienisto I fixed some grammatical errors but the branch has some conflicts.,statusofactions,problem
"@vikramdevtron Alright, works for me as long as we can delete the existing duplicates.",approval,
"Thank you, can you checkout the latest English translations? There is a ""tray"" entry now.",calltoaction,
"Add ""tray"" translation in new commit",calltoaction,
"Thanks for the nice tutorial. I have created a token with access to public repos. After finish, it looks like this:",statusofactions,clarifying
Nice. I regret that I did not imagine that Chrome should have such utility as Chrome is utilizing modern Windows APIs...,approval,
"LGTM, nice change 👍",approval,
"Hi, you can leave the alias generator out. It will use the English version. You can look at the German (de) translations for example.",clarifying,
@YurySolovyov it does!,approval,
"This is really cool, thanks for adding it, left a few minor comments.",approval,
"Added all the missing translations files from the previous pull request, except Ukrainian and Russian to avoid conflicts with #325",statusofactions,proceduralsuggestion
@nornagon Oh incredible. Thank you so much!,approval,
"Yeah, that seems like a nice fix of ""mindless copypaste"".",approval,
"LGTM, thank you!",approval,
Thanks. I expected a more ugly change with more C code but this PR seems ok!,approval,
amazing work! can't wait for this to eventually land.,approval,
Thanks @MarshallOfSound for your awesome work on this 👍 🎉 🥇,approval,
Nice job @MarshallOfSound and @kevinsawicki !!!!,approval,
I tried master branch and this really works nice! Thank you.,approval,
good point!,approval,
"Please add ""Run cd app"" line in ""Getting Started"" part after ""Run dart run build_runner build -d to generate code"". This helps to increase the quality of docs.",calltoaction,clarifying
Awesome! 👍,approval,
Docs look good. 👍,approval,
"right, that makes more sense, thanks.",approval,
"That sounds reasonable, let's see what the implementation looks like 👍",approval,
"Oh yeah, originally I intended to discuss this.
 
 I thought that the setting could be implemented as enabled by default and opted out by the few that prefer to have it off, although it is indeed a bit of a reach to think the restoration of the window position/size as a nuisance to anyone.
 
 Besides, implementing it would imply on creating some extra I18n strings that would've to be translated by everyone and that could be avoided.",clarifying,solution
I would say that the second option would probably be optimal for the purposes of this PR: to update tests to reflect the behavior your PR is designed to create,approval,
"Seems handy, just a few style comments.",approval,
Real close! Thanks for working on this :),approval,
"Great. This is what I wanted to confirm with you.
 
 Thank you.",approval,
"I just tested this on a real device (iOS 16) and indeed, your changes fixes this problem. Thanks alot!",approval,statusofactions
"@jwu Thanks for the clarification, it sounds quite reasonable. 👍",approval,
yes @sferoze now working fine.I will ask you doubts during development.Thanks for your reply,approval,
This approach looks much better than the last PR 👍 👍,approval,
Thanks very much for your patience and hard work on this feature @krunt!,approval,
@nornagon Excellent!,approval,
@yohan1234 removing it from the window fixed the crash. Thanks!,approval,
"Yes, flatpak seems to be the ""It just works"" version now.",statusofactions,
Sounds good.,approval,
"Yup it would be better to push your changes, thanks!",approval,
"This looks pretty cool, will be interested to see how much you can mess with the Info.plist before macOS refuses to launch the app.",approval,
I think this is looking great!,approval,
following along with excitement. thank you for taking on this complex task @refi64!,approval,
"Agree, I think this sounds like a useful follow-up idea.",approval,
Sounds like a charming idea 👌,approval,
"But of course, mainnet is what really matters.",approval,
Concept ACK I think this is a neat idea.,approval,
lgtm ACK 9f208c0,approval,
lgtm ACK 44445ae,approval,
"Yes, force-pushed addressing it. Also, I think this way our seeds remain great.",approval,
"Do you know if this can be made more general? If I paste text, it does not work.",question,problem
lgtm ACK fca0a89,approval,
concept ACK,approval,
Concept ACK,approval,
re-ACK fa6b053,approval,
ACK 49a9257,approval,
lgtm ACK d799ea2,approval,
@anilsahindev I saw this app on your stars in my github timeline so thanks for it. Could you please review my translation?,clarifying,calltoaction
Concept ACK.,approval,
This is major and unblocks a bunch of toolchain bumps we've needed to do for years. Great work from everyone involved. Thanks @fanquake for pushing on the guix side.,approval,
"Concept ACK. I've been looking at this code lately as well, e.g. bug fixes (5ae9fe1 / c9dbf0b), logic (4820f7f) and logging (d6b0da5) improvements and agree with the issues you report. Will review soon.",approval,
You're right!,approval,
ACK fc1e9e4,approval,
re-ACK 0420f99,approval,
tACK 0420f9,approval,
"Nope, that's good. Thanks again for reviewing and testing.",approval,
"Good eye, @kashifs 👍",approval,
ACK ed52e71,approval,
ACK fa8d99d (first commit),approval,
"In general I agree with consolidating our infrastructure as much as possible, and would be entirely happy if we ended up in a world where that infrastructure was LLVM/clang-tidy + Rust & Cargo.",approval,
Concept ACK,approval,
"@thaJeztah good idea, merged.",approval,
LGTM (waiting for CI to finish) 😄,approval,
Looks even better.,approval,
Looks good again.,approval,
"LGTM, thanks!",approval,
SGTM (but more eyes won't hurt for this black magic ❤️),approval,
"Looks great, thanks for the additional test, @acburdine! 🚀",approval,
"Good catch, I'm surprised I didn't find this in testing.",approval,
"@mbfrahry ok, cool. Thanks for your changes. I guess, we are ready then :)",approval,
This looks great as well. Thanks @jckuester! 🚀,approval,
"LGTM, thanks @tylersmith34! 🚀",approval,
"LGTM, thanks @jbmchuck! 🚀",approval,
"good catch, removing",approval,
"Got it, removing",approval,
"THanks for the work, looks really good :)",approval,
Good work! 👍,approval,
Also I don't know if a 2-column layout is suited for showing a list files. I think a list would be better.,solution,
This is looking very good! thanks for the work & follow-up! 🚀 👍 ⭐️ 🎆,approval,
otherwise LGTM 👍,approval,
"I see. Having the file size as 2nd row still seems to be overkill as there is only one attribute (the size).
 
 Maybe have 4 columns instead so we have:",solution,
"Great work, @ewbankkit! Let's get this in. 🚀",approval,
"LGTM, thanks for the contribution @sbv-siteimprove :) 👍",approval,
The change looks reasonable I'd like some thought from @nornagon as they're currently refactoring our symbol generation 👍,approval,calltoaction
"that sounds better providing more finer control, it can be a new api on session module. I think the api works well with empty hosts and file:// origin, can you test if this works for your case ?",approval,calltoaction
"@gerhardberger Cool, thanks! Let's enable OSR and see what happens.",approval,calltoaction
Hey @ewbankkit! Thanks for your contribution here. I think architecturally this is going to be the best approach to fix the ordering issues. Can you see my below comments and let me know if you have any questions? It's looking pretty good so far.,approval,calltoaction
"hello @brunovjk thank you for your help , i just tested it it's working great
 
 can you please check for each one and render the empty state so we dont get that empty space",approval,calltoaction
"yh a custom one sounds great
 
 i was thinking we could make it with some shades of these blue colors
 
 
 
 and it should be thin just like the vertical blue line
 
 @sidgaikwad sorry we don't have a design for this 😄",approval,clarifying
@onfranciis it was good thing to do on backEnd i ignored .git folder it almost reduced 50% image size,approval,clarifying
"Thank you. Would you check if ""Clipboard"" can be made shorter in Ukrainian and Russian? For example, in English I changed it to ""Paste"". I don't know if it's possible in Ukrainian and Russian.",problem,
"@MarshallOfSound thanks! good thing you pointed it out, because I also realized I put the option under webPreferences 😄",approval,clarifying
"@nornagon this API seems great for a use-case we have in VSCode: direct window-window communication without going through the main process, thanks a lot for adding it 👍",approval,clarifying
Sounds like a good idea to me. This PR just wants to know if setImmediate is scheduled for run in order to interleave uv_run() with browser's event loop and avoid starvation.,approval,clarifying
"Sounds good, its monospace typed in the ECS documentation here: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task-networking.html",approval,clarifying
"Ok, parsing arbitrary C++ code would be a valid reason to move the assert check to clang-tidy. However, I don't see a reason for this assert check to exist in the first place. Our assert/Assert/Assume do have side effects, since it is not possible to compile if they hadn't. The section in the dev notes should just be removed along with the linter. (But maybe removal or conversion of this check to clang-tidy can be discussed and done in a separate pull?)",approval,clarifying
"And I would appreciate it if you could verify if this translation ""Вcтaвити/Вcтaвить"" fits without reducing the font size. Because in Ukrainian and in Russian it is 8 letters, and in the word ""Clipboard"", which you refused – 9, so the difference of 1 letter is not big. I might need to look for another option for the translation.",calltoaction,clarifying
I like the initiative you put in I just don't see how a case can be built to justify this PR.,approval,clarifying
"I don't know, maybe it's worth increasing the size. I see there are two more translations that already include this translation, in Persian and Hebrew. It might be fine with Persian because characters take up less space than the word ""Clipboard"", but with Hebrew, most likely, the same situation, in which word does not fit in size.",problem,clarifying
"""You are right. I will just merge this until we have a better idea.""",approval,personalresponsibility
Run cargo +nightly fmt for formatting.,calltoaction,
and cargo run --features openapi -- generate-openapi-spec for validating generated openApi spec file. And commit it.,calltoaction,proceduralsuggestion
You are right. I will just merge this until we have a better idea.,approval,personalresponsibility
"Hi @pixincreate, @swangi-kumari
 
 I have revert to top most commit and have Run cargo +nightly fmt and also generated and validated openApi spec file.
 
 If there is any changes to be made please guide me",proceduralsuggestion,calltoaction
very true. will change it. thx,approval,personalresponsibility
"Yep, it is better. I will modify it. Thanks.",approval,personalresponsibility
@MarshallOfSound both are ok too me. I will modify it to match other options.,approval,personalresponsibility
This is a great idea! Let me come up with a patch real quick!,approval,personalresponsibility
"Sounds good, will do.",approval,personalresponsibility
"Run cargo +nightly fmt for formatting.
 
 Run cargo clippy and addressed lints thrown by it.",solution,calltoaction
@deepanshu-iiitu @SamraatBansal @srujanchikke Can you also please review my changes and merge my pull request?,calltoaction,
"Hello @shivansh-bhatnagar18 ,
 
 your PR is approved. It will get merged by Monday.",proceduralsuggestion,statusofactions
"Same here, happy to review",approval,personalresponsibility
"Hi @adarsh-jha-dev
 
 Please address the failing CI checks
 
 Run cargo clippy and addressed lints thrown by it.",solution,calltoaction
Agreed. Will do.,approval,personalresponsibility
"Agreed.
 
 I'll use text from this PR's description:",approval,personalresponsibility
This looks great! Will try it today with N1. You're correct - this will need to be built with the target SDK set to MacOS 10.12.1 with the most recent version of Xcode. I wonder how often Travis updates Xcode...,approval,personalresponsibility
"That's interesting, definitely something I wasn't aware of. I must have missed some of the checks when browsing the code (please excuse my first time working with chromium source; would also appreciate if you can give some pointers to how chromium checks for such an invalid scheme).
 
 I don't mind trying another approach, since I did notice there might be side effects from marking the custom scheme as local.",approval,personalresponsibility
"@Juneezee thanks for the quick changes. The PR looks good to me, will run it through sanity checks and then we can move ahead with the merge. Please allow me some more time.",approval,personalresponsibility
"I was thinking more along the lines of using descriptive country names in our code, while serializing/deserializing using one of Alpha-2, Alpha-3 or the numeric code, as per requirement. This would keep things flexible for us should a connector require us to send either the Alpha-3 or numeric country code at a later point in time, while ensuring readability and ease of debugging.",solution,clarifying
"Yup, you are right we shouldn't support impl From<Secret<...>> for PhoneNumber,
 
 I see that our implementation with impl From<Secret<...>> for Email is also built with incorrect assumptions...",approval,problem
"Overall this makes sense to me. While accepting inputs from APIs and passing data around, we will always use the Country enum (Even if our API takes Alpha-2 or Alpha-3 as input, the custom deserialization will deserialize to Country). If a specific connector requires it in a different format, then in the types of the connector we can use the Alpha2CC and Alpha3CC types and convert from Country to the required type within the code for that specific connector.",solution,clarifying
Linking the issue for supporting additional country code variants #804,proceduralsuggestion,
"Yep, you are right. And it seems the travis ia32 job broken.",approval,problem
"If we can't do any of the above, I am 👎 on this PR. Every patch we take on creates a significant maintenance burden. If landed as-is, this patch would be the largest Chromium patch we are carrying, by a factor of 2. A patch of this size is not worth the ongoing maintenance cost for what it buys, IMO.",approval,problem
"Yeah, I think you did it right. Make sure WINGET_TOKEN is in this repo and not in the fork.",approval,proceduralsuggestion
LGTM. You can remove the draft status if you are done.,approval,proceduralsuggestion
"Sorry, this got closed by mistake.
 
 I was trying to sync with the remote, but somehow the PR closed.",proceduralsuggestion,clarifying
Concept ACK. I opened issue #16721 a while ago but closed it as it didn't get much attention back then.,approval,proceduralsuggestion
Please use following cargo commands -,proceduralsuggestion,
@elronalds interested - is there anything in particular that support for that would add over and above just blocking out areas with a solid background in css?,approval,question
Please update the branch !,proceduralsuggestion,calltoaction
"For fixing the test, yes option 1 is the right route. But I also want to decide on the file scheme behavior, whether we want to maintain this difference or align with browser behavior. There are obvious advantages this. /cc @zcbenz thoughts ?",approval,question
"@srujanchikke @VedantKhairnar I have updated the code and all the tests are passing too.
 
 kindly review and merge.",statusofactions,
@zcbenz Ok. Is it possible to somehow build a production ready app using the GitHub master branch of electron?,approval,question
"Great feature, thanks for implementing this. But what exactly happens on Electron at startup, if the asar integrity is corrupt ? I looked through the sources, but couldn't find the answer.",approval,question
"Thank you @AaronWard, it's almost good to merge. I've just two small suggestions to add. Thank you very much again for your nice PR and your patience!",approval,solution
"@polymahh YOU ARE RIGHT , I didn't check video , i though it in top .
 
 Actually i find that we don't need it , we will use this features inside select option : #528",approval,solution
"I think @Rajdeep1311 's suggestion of adding mongo to docker compose would be nice. It would remove step 2 of the readme and as a small bonus allows for offline development, whenever that's required :)",approval,solution
"I agree with @MarshallOfSound, I think devTools defaulting to true is the right pattern to follow here to mirror the other options, like nodeIntegration.",approval,solution
"Yeah, I agree. Maybe it would also make sense to do something here that matches what we do for e.g. incoming messages on MessagePorts, i.e. loop over the queue synchronously up to a specific iteration number limit, and only return control back to the event loop and defer the other iterations if that limit has been exceeded? (Because the only reason I could imagine DispatchOne() only dispatching a single item is to avoid event loop starvation.)",approval,solution
"Yes, or the patch to Node.js could also do the same thing here already if that makes sense (in which case upstreaming it also seems like a good idea).",approval,solution
"Jup, it is still needed. Steps to reproduce on a fresh install of bullseye:",approval,solution
"Yes, I considered this and I think it could make sense. However, it may require reading the file size and using that as the maximum, or other changes. So for now, I made it trivial to review by just reverting, so that the CI and tests are no longer failing intermittently.",approval,solution
Post-merge concept ACK. Some kind of test coverage would be good.,approval,solution
"""Thank you so much for the contribution. Very good catch of the bug in the batch upsert! Overall, it looks good to me, just left two comments.""",approval,statusofactions
"""Hi @SanchithHegde, thank you for the detailed explanation of how the masking Strategy works. It confirmed how I understood it before, but I thought maybe it's okay that CardNumber does both: hold the data as well as provide a masking Strategy. But I totally agree that it makes more sense to split the two things into dedicated types. I created CardNumberStrategy as you suggested and replaced everything that uses CardNumber with the new Strategy.""",approval,statusofactions
"""I just tested this on a real device (iOS 16) and indeed, your changes fixes this problem. Thanks a lot!""",approval,statusofactions
"Hi @SanchithHegde
 
 thank you for the detailed explanation of how the masking Strategy works. It confirmed how I understood it before, but I thought maybe it's okay that CardNumber does both: hold the data as well as provide a masking Strategy.
 
 But I totally agree that it makes more sense to split the two things into dedicated types. I created CardNumberStrategy as you suggested and replaced everything that uses CardNumber with the new Strategy.",approval,statusofactions
"@deepanshu-iiitu
 
 I've made the changes. Please review.
 
 Thank you.",statusofactions,
"Hi @polymahh I agree with this. I'm open for frontend solutions for this, but I already handle on the backend side on this PR",approval,statusofactions
"@ashh1215, please run cargo +nightly fmt and then commit the code",proceduralsuggestion,
"sorry @18feb06 i didnt understand the issue at first
 
 tested it's working 👍",approval,statusofactions
"@MarshallOfSound thanks for your help, you're right I was not using the correct version of electron to test. My testing went pretty well; I got things running with hyper-term for a proof of concept:",approval,statusofactions
Just synced the changes from main can you run the CI checks again ?,statusofactions,calltoaction
"Force-pushed with most of the suggestions from @stickies-v and @LarryRuane. Thanks for your reviews, very good points!",approval,statusofactions
"""The code formatting issue is not caused by this PR. Please recover the space after '-'. I made a PR to fix the code formatting #242""",calltoaction,
"Hey @SagarDevAchar ,
 
 The changes you made is right but you also have to fill the default cases for WalletData (line - 248) Please fill the matching arms for that too.",approval,problem
@swangi-kumari got it!,statusofactions,
Pls address the CI fails,proceduralsuggestion,
Run cargo +nightly fmt for formatting.,proceduralsuggestion,
and cargo run --features openapi -- generate-openapi-spec for validating generated openApi spec file. And commit it.,proceduralsuggestion,
"""Thanks for the PR, @phillyphil91! Could you add test cases to verify handling of whitespaces in the input, and to ensure that invalid card numbers are caught during deserialization? Could you also port over the implementation of Strategy to cards::CardNumber from the common_utils crate (reference)? I forgot to include this in the issue description. It's fine to keep them in the same file.""",calltoaction,
Let me know if you can do that.,calltoaction,
"@SagarDevAchar You don't necessarily need the nightly toolchain for compiling our code, please use the stable toolchain for the purpose. For formatting code alone, you can use the nightly toolchain using the command cargo +nightly fmt.",solution,
"And I checked the changes in this PR, I don't think you need to specify the generics for the return type (Ok::<NoonPaymentData, E>(...)), only using Ok(...) should suffice.",proceduralsuggestion,solution
Pls address the CI fails,calltoaction,
"Hence, I have added the type annotations to Ok(...) as Ok::<NoonPaymentData, errors::ConnectorError>(...) and the CI Checks succeed (The CI-pr / Spell check failure is due to #2596 which has been merged into main)",statusofactions,solution
"Hi @shivansh-bhatnagar18
 
 Please address the CI checks compilation errors.",calltoaction,
Also use the following commands before committing your code,calltoaction,
Please use the following cargo command -,proceduralsuggestion,
Could you verify if all existing connector tests pass after this change?,calltoaction,
You'd have to update/remove tests accordingly.,calltoaction,
"Hey @nabeel001 ,
 
 Let us know if you face any issues. Happy to help! : )",calltoaction,
@SanchithHegde Please do review and suggest changes if required,calltoaction,
"hi, @srujanchikke , could you help me with an issue, I have here? I've tried various fixes, but, got a problem with a Some (as here -> https://github.com/juspay/hyperswitch/actions/runs/6459469231/job/17538567259?pr=2492) or with borrowed value.
 
 I'm kinda new to Rust, and tried different approaches, but, it doesn't work",problem,calltoaction
@srujanchikke can you review my pr please? I've managed to fix all issues,statusofactions,calltoaction
"Hey @mdrokz, could you address the failing CI checks?",calltoaction,
"@swangi-kumari hey!
 
 Thanks for the link, I've submitted the form. One question: can it be the issue, if I live in Ukraine?
 
 because previous year, for example, the Digital Ocean were not shipping swag here, because of the military actions here",question,statusofactions
"Hey @daniloff200 ,
 
 We are using DHL courier service and they do provide service in Ukraine as shown in the above image.
 
 If we face any issues, we will reach out to you. If you have any queries, pls let us know.
 
 Thanks.",clarifying,
@SanchithHegde can you review this ?,calltoaction,
Please review and let me know of any changes necessary!,calltoaction,
"Hey @sanketmp, could you address the failing CI checks?",calltoaction,
Hey @amitroy-thedev Can you please address the unresolved comment,calltoaction,
"anyone who review this PR, please have a close look here:",calltoaction,
@HeetVekariya Can you please address the failing CI checks?,calltoaction,
@srujanchikke can you confirm the changes made?,calltoaction,
"Can you remove this additional package-lock.json, package.json files",calltoaction,
"@sanketmp As mentioned earlier in #2557 (comment), you must run cargo clippy --all-features and address the errors thrown.",proceduralsuggestion,
Pls address the CI fails,proceduralsuggestion,
I would like to kindly request you to refer Cargo Commands mentioned in contribution doc.,calltoaction,
and cargo run --features openapi -- generate-openapi-spec for validating generated openApi spec file. And commit it.,proceduralsuggestion,
"Should you encounter any errors during these processes, I encourage you to take the necessary steps to rectify them. This diligence will contribute to a smoother workflow and help prevent workflow failures.",calltoaction,
Hey @amitroy-thedev Please tag the issue assigned to you with this PR,calltoaction,proceduralsuggestion
"@AkshayaFoiger
 
 please approve the workflows
 
 so that i can complete this PR and move on to next issue!
 
 Thank You : )",calltoaction,
"Hey @Kota-Karthik ,
 
 Let us know if you face any issues. Happy to help! : )",calltoaction,
@SamraatBansal Please check out the changes that I have made and point me out if their are any issues,calltoaction,
@swangi-kumari @SamraatBansal Please Check the changes that I have made and guide me through any further issues with the PR.,calltoaction,
@SamraatBansal Thank you for your guidance on this issue. Please Check the changes that I have made.,calltoaction,
@SamraatBansal @swangi-kumari Please check the PR for final review,calltoaction,
@swangi-kumari Sorry for frequent requests but can you re-run the tests?,calltoaction,
"Hey @HeetVekariya ,
 
 Pls address the CI fails
 
 Run cargo +nightly fmt for formatting.",proceduralsuggestion,
"Hey @HeetVekariya, please add the default cases for PayeezyTransactionType and map it to pending",solution,calltoaction
"@swangi-kumari @SamraatBansal If the Pull Request is good enough, can you help me with the checks and merge the pull request?",calltoaction,
@swangi-kumari Can you re-run the tests ?,calltoaction,
@srujanchikke @prasunna09 please have a look,calltoaction,
Please review @swangi-kumari and let me know of any changes that are to be made.,calltoaction,
@lsampras @SanchithHegde This PR still has some way to go until it's done. I will mark it as draft for now. Trying to finish it this week otherwise I will only get the chance to go back to it next Friday (9th of June).,proceduralsuggestion,statusofactions
"Hey @ashutuptiwari, could you address the failing CI checks?",calltoaction,
Please review,calltoaction,
Please approve the workflow @SanchithHegde @swangi-kumari,calltoaction,
please review @prasunna09 @swangi-kumari @Sangamesh26,calltoaction,
"Yes, please address the failing CI checks.",calltoaction,
"@vlad-onis Could you please restrict this PR to only the introduction of the newtype? Preferably, we'd like to take up the refactor of replacing phone number fields with the newtype in a separate PR, since it would cause conflicts to you and other folks. I can create a new issue for the refactor, if you'd prefer.",calltoaction,proceduralsuggestion
@SargamPuram Let me know if you need any help with fixing the failing CI checks.,calltoaction,
@SargamPuram Can you re-export SwitchStrategy on this line:,calltoaction,
And then import it as masking::SwitchStrategy instead of masking::abs::SwitchStrategy.,calltoaction,
"Hey @swangi-kumari , I request you to please have a look at it, whenever you're free",calltoaction,
"@SamraatBansal and @Sangamesh26 , could you also please approve this or let me know if there's any change needed?",calltoaction,
"Hey @swangi-kumari , could you please merge this if you're satisfied with the changes?",calltoaction,
hello @BharatPratap can you commit the package.json file i think you added joi to it,calltoaction,
"@DecodeAndCode thank you for your contribution , can you provide screenshots",calltoaction,
can anyone review my code .............,calltoaction,
"hey @polymahh , can u elaborate what changes i need to make in my pull request.",calltoaction,
Please check the contents of the file.,calltoaction,
"Hey @HeetVekariya, as far as I understand, the ConnectorAuthType enum is not included under the scope of handling default cases. The enums that must be handled are primarily the payment methods related enums such as PaymentMethodData and PaymentMethod. You can also handle default cases for the IatapayPaymentStatus enum in your case.",solution,
"@salahlalami Let me know if you want to update or add more validators here, thank you a lot!",calltoaction,
"here, in this line we have wild card matching for PaymentMethod, you have to remove default case handling here. for your ref - https://github.com/juspay/hyperswitch/pull/2403/files",solution,
@salahlalami can you review it.,calltoaction,
@Sinharitik589 can you please resolve the merge conflicts,calltoaction,
@Sinharitik589 check your linkedin message,calltoaction,
"@Sinharitik589 please revert this file , don't change it :
 
 frontend/src/components/AutoCompleteAsync/index.jsx",calltoaction,
@Sinharitik589 share your pr in slack for review,calltoaction,
"cargo clippy commands is giving errors which are asking to modify codes in other files (apart from Worldpay files).
 
 So do i have to change all the other files or just ignore those?",problem,question
@salahlalami Let me know if you want to change or update something. Thanks!,calltoaction,
"@polymahh check this PR , and test it please localy",calltoaction,
@quan-nh2 could you please add video record of result,calltoaction,
@salahlalami Please check the contents of the file.,calltoaction,
@idurar first needs to authorize it.,calltoaction,
"@Aman-Gupta-404 please review requested change ,",calltoaction,
"Do check it, and let me know if there are any issues",calltoaction,
"Thank you @Aman-Gupta-404 ,
 
 1- revert app.js
 
 2- revert erpApi.js
 
 3- remove yarn lock from your commit",calltoaction,
could you record video to see how it work,calltoaction,
See the video by clicking here,calltoaction,
do let me know if there are any other issues,calltoaction,
This difference in naming might be the reason for the workflow check failure. Would you please consider renaming the PR to: Title: feat(connector): [Wordline] Add connector_response_reference_id support.,solution,calltoaction
do npm run start,calltoaction,
"Please review these changes at your convenience. Should you have any questions or further insights, please don't hesitate to reach me out.",calltoaction,
@polymahh can you check it,calltoaction,
@salahlalami can you review this.,calltoaction,
"Hi @salahlalami, Could you help us use this component and test it, I mean where should I use this?",calltoaction,
"Thanks @polymahh for your answer, I am new to this project, so could you give me the entity name to get the clients and their invoices",calltoaction,
"@polymahh Thank you so much for your help, You can review it again and test it",calltoaction,
Tahnk you @sidgaikwad create separate folder component/notification,calltoaction,
thank you @sidgaikwad also can you post some screenshots,calltoaction,
